;0;0
0;es imposible q gobierno pueda abrir una negociacion con la oposicion si no se contempla el tema constitucional piñera puede mandar su propio proyecto y ya hay uno d la presidenta bachelet se veran los  en comisiones y hay que aprobar  el plebiscito para lo q salga del congreso;1
1;piñera no levantara la economia porque hace mas de lo mismo la economia chilena viene cayendo por la falta de diversificacion productiva por la desindustrializacion por la concentracion de la riqueza por la desigualdad por la falta de competencia por la falta de innovacion;0
2;sename la primera actividad como presidente de sebastian piñera;1
3;la busqueda de acuerdos a los que el pdte piñera nos convoca debe partir por asumir que los partidos opositores tienen mayoria en el congreso y nosotros en el pais y que las reformas no parten de cero sino de algunos avances del gobierno que recien termino;1
4;internacionales  sebastian piñera asumira por segunda ocasion la presidencia de chile;1
5;cambiocl memoria  adimark piñera termina su gobierno con un  de aprobacion bachelet con  ;1
6;macri se reunira con piñera y temer en marco de investidura enchile;1
7;una semana del gobierno de piñera y ya dicen que le van a dar indulto a gente de punta peuco van a quitar feriados y el ministro de educacion no quiere que los estudiantes se manifiesten tiempos mejores ;1
8;el periodismo no es el problema sino lo penca que son casi todos los lideres de derecha piñera se caga entero en entrevistas perdonen el frances al unico que le tienen miedo y nadie lo ha dejado callado es a joseantoniokast ese se los pasea como quiere;0
9;citrusnuances cuando gano piñera en el  un grupo de cuicosas llegaron celebrando a la moneda preguntando;0
10;se acuerdan de esta propaganda de piñera que decia agarrense de las manos que vienen tiempos mejoreshoy ingreso piñera al congreso el proyecto de reajuste de salario minimo por la suma de  que diran los que votaron por piñera con esta miseria de reajuste;0
11;elnacionalweb pues esa precion llevara a piñera a un estado de sequedad;0
12;el lunes el gran presidente sebastian piñera va entrar a la moneda y dira buenos das guardia y la guardia presidencial respondera buenos das mi presidente  ah los viejos tiempos de mi general pinochet  digan lo que me digan no me interesa;1
13;opinion  podra piñera convertir a chile en un pais del primer mundo;1
14;o sea ahora piñera tendra que rescatar los restos de los mineros de aysen que bachelet dejo enterrados en la mina ;0
15;es peligroso dejar en manos de bracitos cortos el cobre poner ojo mucho ojo los que deben fiscalizar pues haganlo letra chica piñera y la ley reservada del cobre;0
16;que prenda la tele y aparezca piñera por la ctm;0
17;macri asistira este domingo a la asuncion del presidente de chile sebastian piñera;1
18;michelle bachelet termina su mandato y empieza el gobierno de sebastian piñera;1
19;me gustaria invitar a cantantes actores trabajadores cesantes abuelos niños y sobre todo politicos para que se sumen al paromarcha del  y asi demuestren que estan contra piñera con la gente y sobre todo para que demuestren que en chile si existe oposicion;0
20;buenos dias menos  para piñera secuaces jueces fachos pobres;0
21;quien en la serena pah tomarse sus copetes en la noche y desde ya empezar a celebrar el ingreso a la moneda del pdte piñera ;1
22;bachelet entrega un mejor pais crecimiento economico fue mucho  bajo q durante el gobierno anterior  vs pero en casi todos los indices de desarrollo social salario minimohacinamiento extrema pobrezadesigualdad bachelet  supero a piñera;1
23;acabo de ver que piñera ocupa un beauty blender suddenly ya no me gusta el maquillaje;0
24;que levante la mano quien cree que realmente el sello del gobierno de piñera sera socialprimer parche ayudar en gastos de salud a clase media para que un cancer no los lleve a la pobreza en vez de profundizar en cambio para un sistema unico de saludmin moreno no pues;1
25;si la mitad de quienes critican a piñera o sus ministros en esta red social solo la mitad hubiese ido a votar no habria tanto carerraja en twitter;0
26;por la reconchetumare se dan cuenta de que la sm nos cancel un concierto o sea nos estaba dando l oportunidad de nuestras vidas y nos la quit de nuestras manos sm reculia y la zorra perra maraca y piera culiao dnde estn los tiempos mejores porque no los veo todo es tu culpa;0
